model name,depth,n_estimator,colsample_bytree,learning rate,alpha,featurestrain_rmse,train_rmse_percent,test_rmse,test_rmse_percent
all features,3,10,0.25,0.01,5,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5167093.029894298,368.6353414375001,5652151.802479064,403.24083532246266
all features,3,10,0.25,0.01,5,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5506400.615913388,392.84252468363565,4667835.82903656,333.0168906686569
all features,3,10,0.25,0.01,5,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5481683.701515976,391.07914861793364,4851070.908999915,346.0894105313389
all features,3,10,0.25,0.01,5,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5338829.237412639,380.88749852649295,5449572.354065096,388.78823234004045
all features,3,10,0.25,0.01,5,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5367225.014067518,382.91333525170637,5372352.625575895,383.27915386736004
all features,3,10,0.25,0.01,5,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5234475.38317896,373.44259314871255,5720314.617939036,408.1037674595568
all features,3,10,0.25,0.01,5,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5354088.07350262,381.9761079669318,5323744.841957603,379.8113341848071
all features,3,10,0.25,0.01,5,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5386883.619424682,384.31583694000506,5243950.030218988,374.1185418352165
all features,3,10,0.25,0.01,5,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5508158.914430201,392.96796677851273,4957435.155320856,353.67774308746175
all features,3,10,0.25,0.01,5,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5044768.141027567,359.9083305412759,6381864.888348776,455.300674579217
all features,3,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5420993.68239688,386.74934735629967,5261080.220048562,375.3406590566754
all features,3,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5347356.095238764,381.4958291928728,5557103.886658996,396.45984247047795
all features,3,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5429279.97245477,387.34051522323523,5254111.162422476,374.8434663561325
all features,3,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5387785.482583607,384.3801784627136,5352069.655598103,381.8321082036045
all features,3,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5429991.2894815495,387.3912626345012,5294814.219498016,377.7473400150317
all features,3,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_happy', 'category_id']",5564081.3671292,396.95763608104886,4840011.873289494,345.3004269807245
all features,3,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_happy']",5388652.088808796,384.44200465393305,5355262.28483374,382.0598795948981
all features,3,10,0.25,0.01,5,['title_sentiment'],5227520.7463835245,372.9464292718815,5663083.964090928,404.0207673084215
all features,3,10,0.25,0.01,10,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5505238.435357515,392.7596113659253,4984804.582156936,355.6303570520827
all features,3,10,0.25,0.01,10,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5312153.318159879,378.9843613960005,5427135.064943315,387.1874913259951
